2B,SVX,NBC,CR2,Canadair Regional Jet 200
2B,SVX,NJC,CR2,Canadair Regional Jet 200
2B,SVX,NUX,CR2,Canadair Regional Jet 200
2B,SVX,OVB,CR2,Canadair Regional Jet 200
2B,TGK,DME,CR2,Canadair Regional Jet 200
2B,UUA,DME,CR2,Canadair Regional Jet 200
2B,UUA,LED,CR2,Canadair Regional Jet 200
2B,UUA,NJC,CR2,Canadair Regional Jet 200
2G,BTK,IKT,A81,Antonov An-148
2G,BTK,OVB,A81,Antonov An-148
2G,CEK,OVB,A81,Antonov An-148
2G,HTA,IKT,AN4,Antonov AN-24
2G,IKT,BTK,A81,Antonov An-148
2G,IKT,HTA,AN4,Antonov AN-24
2G,IKT,KCK,AN4,Antonov AN-24
2G,IKT,ODO,AN4,Antonov AN-24
2G,IKT,OVB,A81,Antonov An-148
2G,IKT,UKX,AN4,Antonov AN-24
2G,IKT,ULK,AN4,Antonov AN-24
2G,IKT,YKS,A81,Antonov An-148
2G,KCK,IKT,AN4,Antonov AN-24
2G,MJZ,OVB,A81,Antonov An-148
2G,ODO,IKT,AN4,Antonov AN-24
2G,OVB,BTK,A81,Antonov An-148
2G,OVB,CEK,A81,Antonov An-148
2G,OVB,IKT,A81,Antonov An-148
2G,UKX,IKT,AN4,Antonov AN-24
2G,ULK,IKT,AN4,Antonov AN-24
2G,YKS,IKT,A81,Antonov An-148
2I,AYP,LIM,142,BAe 146-200
2I,CUZ,LIM,142,BAe 146-200
2I,CUZ,LIM,141,BAe 146-100
2I,CUZ,PEM,142,BAe 146-200
2I,HUU,LIM,141,BAe 146-100
2I,IQT,PCL,143,BAe 146-300
2I,IQT,TPP,142,BAe 146-200
2I,LIM,AYP,142,BAe 146-200
2I,LIM,CUZ,142,BAe 146-200
2I,LIM,CUZ,141,BAe 146-100
2I,LIM,HUU,141,BAe 146-100
2I,LIM,PCL,143,BAe 146-300
2I,LIM,PCL,146,BAe 146
2I,LIM,TPP,142,BAe 146-200
2I,LIM,TPP,146,BAe 146
2I,PCL,IQT,143,BAe 146-300
2I,PCL,LIM,143,BAe 146-300
2I,PCL,LIM,146,BAe 146
2I,PCL,TPP,146,BAe 146
2I,PEM,CUZ,142,BAe 146-200
2I,TPP,IQT,142,BAe 146-200
2I,TPP,LIM,142,BAe 146-200
2I,TPP,LIM,146,BAe 146
2I,TPP,PCL,146,BAe 146
2J,ABJ,BOY,CRJ,Unknown (CRJ)
2J,ABJ,OUA,E70,Embraer 170
2J,ABJ,OUA,CRJ,Unknown (CRJ)
2J,ABJ,OUA,M87,McDonnell Douglas MD-87
